Day,Total infected,Total tested,Total deaths,Total recovered,Infected,Actual tested,In treatment,Infected in A,Tested in A,In treatment in A,Deaths in A,Recovered in A,Infected in B,Tested in B,In treatment in B,Deaths in B,Recovered in B,Known infected %,Infected population %,Population immunity %,Death rate,Total isolated,Isolated
22,11,1,0,11,0,0,0,0,1,0,0,9,0,0,0,0,2,0.0,0.0,0.0022,0.0,0,0
23,11,1,0,11,0,0,0,0,1,0,0,9,0,0,0,0,2,0.0,0.0,0.0022,0.0,0,0
24,11,1,0,11,0,0,0,0,1,0,0,9,0,0,0,0,2,0.0,0.0,0.0022,0.0,0,0
25,11,1,0,11,0,0,0,0,1,0,0,9,0,0,0,0,2,0.0,0.0,0.0022,0.0,0,0
26,11,1,0,11,0,0,0,0,1,0,0,9,0,0,0,0,2,0.0,0.0,0.0022,0.0,0,0
27,11,1,0,11,0,0,0,0,1,0,0,9,0,0,0,0,2,0.0,0.0,0.0022,0.0,0,0
28,11,1,0,11,0,0,0,0,1,0,0,9,0,0,0,0,2,0.0,0.0,0.0022,0.0,0,0
29,11,1,0,11,0,0,0,0,1,0,0,9,0,0,0,0,2,0.0,0.0,0.0022,0.0,0,0
30,11,1,0,11,0,0,0,0,1,0,0,9,0,0,0,0,2,0.0,0.0,0.0022,0.0,0,0
31,11,1,0,11,0,0,0,0,1,0,0,9,0,0,0,0,2,0.0,0.0,0.0022,0.0,0,0
32,11,1,0,11,0,0,0,0,1,0,0,9,0,0,0,0,2,0.0,0.0,0.0022,0.0,0,0
33,11,1,0,11,0,0,0,0,1,0,0,9,0,0,0,0,2,0.0,0.0,0.0022,0.0,0,0
34,11,1,0,11,0,0,0,0,1,0,0,9,0,0,0,0,2,0.0,0.0,0.0022,0.0,0,0
35,11,1,0,11,0,0,0,0,1,0,0,9,0,0,0,0,2,0.0,0.0,0.0022,0.0,0,0
36,11,1,0,11,0,0,0,0,1,0,0,9,0,0,0,0,2,0.0,0.0,0.0022,0.0,0,0
37,11,1,0,11,0,0,0,0,1,0,0,9,0,0,0,0,2,0.0,0.0,0.0022,0.0,0,0
38,11,1,0,11,0,0,0,0,1,0,0,9,0,0,0,0,2,0.0,0.0,0.0022,0.0,0,0
39,11,1,0,11,0,0,0,0,1,0,0,9,0,0,0,0,2,0.0,0.0,0.0022,0.0,0,0
40,11,1,0,11,0,0,0,0,1,0,0,9,0,0,0,0,2,0.0,0.0,0.0022,0.0,0,0
41,11,1,0,11,0,0,0,0,1,0,0,9,0,0,0,0,2,0.0,0.0,0.0022,0.0,0,0
42,11,1,0,11,0,0,0,0,1,0,0,9,0,0,0,0,2,0.0,0.0,0.0022,0.0,0,0
43,11,1,0,11,0,0,0,0,1,0,0,9,0,0,0,0,2,0.0,0.0,0.0022,0.0,0,0
44,11,1,0,11,0,0,0,0,1,0,0,9,0,0,0,0,2,0.0,0.0,0.0022,0.0,0,0
45,11,1,0,11,0,0,0,0,1,0,0,9,0,0,0,0,2,0.0,0.0,0.0022,0.0,0,0
46,11,1,0,11,0,0,0,0,1,0,0,9,0,0,0,0,2,0.0,0.0,0.0022,0.0,0,0
47,11,1,0,11,0,0,0,0,1,0,0,9,0,0,0,0,2,0.0,0.0,0.0022,0.0,0,0
48,11,1,0,11,0,0,0,0,1,0,0,9,0,0,0,0,2,0.0,0.0,0.0022,0.0,0,0
49,11,1,0,11,0,0,0,0,1,0,0,9,0,0,0,0,2,0.0,0.0,0.0022,0.0,0,0
50,11,1,0,11,0,0,0,0,1,0,0,9,0,0,0,0,2,0.0,0.0,0.0022,0.0,0,0
51,11,1,0,11,0,0,0,0,1,0,0,9,0,0,0,0,2,0.0,0.0,0.0022,0.0,0,0
52,11,1,0,11,0,0,0,0,1,0,0,9,0,0,0,0,2,0.0,0.0,0.0022,0.0,0,0
53,11,1,0,11,0,0,0,0,1,0,0,9,0,0,0,0,2,0.0,0.0,0.0022,0.0,0,0
54,11,1,0,11,0,0,0,0,1,0,0,9,0,0,0,0,2,0.0,0.0,0.0022,0.0,0,0
55,11,1,0,11,0,0,0,0,1,0,0,9,0,0,0,0,2,0.0,0.0,0.0022,0.0,0,0
56,11,1,0,11,0,0,0,0,1,0,0,9,0,0,0,0,2,0.0,0.0,0.0022,0.0,0,0
57,11,1,0,11,0,0,0,0,1,0,0,9,0,0,0,0,2,0.0,0.0,0.0022,0.0,0,0
58,11,1,0,11,0,0,0,0,1,0,0,9,0,0,0,0,2,0.0,0.0,0.0022,0.0,0,0
59,11,1,0,11,0,0,0,0,1,0,0,9,0,0,0,0,2,0.0,0.0,0.0022,0.0,0,0
60,11,1,0,11,0,0,0,0,1,0,0,9,0,0,0,0,2,0.0,0.0,0.0022,0.0,0,0
61,11,1,0,11,0,0,0,0,1,0,0,9,0,0,0,0,2,0.0,0.0,0.0022,0.0,0,0
62,11,1,0,11,0,0,0,0,1,0,0,9,0,0,0,0,2,0.0,0.0,0.0022,0.0,0,0
63,11,1,0,11,0,0,0,0,1,0,0,9,0,0,0,0,2,0.0,0.0,0.0022,0.0,0,0
64,11,1,0,11,0,0,0,0,1,0,0,9,0,0,0,0,2,0.0,0.0,0.0022,0.0,0,0
65,11,1,0,11,0,0,0,0,1,0,0,9,0,0,0,0,2,0.0,0.0,0.0022,0.0,0,0
66,11,1,0,11,0,0,0,0,1,0,0,9,0,0,0,0,2,0.0,0.0,0.0022,0.0,0,0
67,11,1,0,11,0,0,0,0,1,0,0,9,0,0,0,0,2,0.0,0.0,0.0022,0.0,0,0
68,11,1,0,11,0,0,0,0,1,0,0,9,0,0,0,0,2,0.0,0.0,0.0022,0.0,0,0
69,11,1,0,11,0,0,0,0,1,0,0,9,0,0,0,0,2,0.0,0.0,0.0022,0.0,0,0
70,11,1,0,11,0,0,0,0,1,0,0,9,0,0,0,0,2,0.0,0.0,0.0022,0.0,0,0
71,11,1,0,11,0,0,0,0,1,0,0,9,0,0,0,0,2,0.0,0.0,0.0022,0.0,0,0
72,11,1,0,11,0,0,0,0,1,0,0,9,0,0,0,0,2,0.0,0.0,0.0022,0.0,0,0
73,11,1,0,11,0,0,0,0,1,0,0,9,0,0,0,0,2,0.0,0.0,0.0022,0.0,0,0
74,11,1,0,11,0,0,0,0,1,0,0,9,0,0,0,0,2,0.0,0.0,0.0022,0.0,0,0
75,11,1,0,11,0,0,0,0,1,0,0,9,0,0,0,0,2,0.0,0.0,0.0022,0.0,0,0
76,11,1,0,11,0,0,0,0,1,0,0,9,0,0,0,0,2,0.0,0.0,0.0022,0.0,0,0
77,11,1,0,11,0,0,0,0,1,0,0,9,0,0,0,0,2,0.0,0.0,0.0022,0.0,0,0
78,11,1,0,11,0,0,0,0,1,0,0,9,0,0,0,0,2,0.0,0.0,0.0022,0.0,0,0
79,11,1,0,11,0,0,0,0,1,0,0,9,0,0,0,0,2,0.0,0.0,0.0022,0.0,0,0
80,11,1,0,11,0,0,0,0,1,0,0,9,0,0,0,0,2,0.0,0.0,0.0022,0.0,0,0
81,11,1,0,11,0,0,0,0,1,0,0,9,0,0,0,0,2,0.0,0.0,0.0022,0.0,0,0
82,11,1,0,11,0,0,0,0,1,0,0,9,0,0,0,0,2,0.0,0.0,0.0022,0.0,0,0
83,11,1,0,11,0,0,0,0,1,0,0,9,0,0,0,0,2,0.0,0.0,0.0022,0.0,0,0
84,11,1,0,11,0,0,0,0,1,0,0,9,0,0,0,0,2,0.0,0.0,0.0022,0.0,0,0
85,11,1,0,11,0,0,0,0,1,0,0,9,0,0,0,0,2,0.0,0.0,0.0022,0.0,0,0
86,11,1,0,11,0,0,0,0,1,0,0,9,0,0,0,0,2,0.0,0.0,0.0022,0.0,0,0
87,11,1,0,11,0,0,0,0,1,0,0,9,0,0,0,0,2,0.0,0.0,0.0022,0.0,0,0
88,11,1,0,11,0,0,0,0,1,0,0,9,0,0,0,0,2,0.0,0.0,0.0022,0.0,0,0
89,11,1,0,11,0,0,0,0,1,0,0,9,0,0,0,0,2,0.0,0.0,0.0022,0.0,0,0
90,11,1,0,11,0,0,0,0,1,0,0,9,0,0,0,0,2,0.0,0.0,0.0022,0.0,0,0
91,11,1,0,11,0,0,0,0,1,0,0,9,0,0,0,0,2,0.0,0.0,0.0022,0.0,0,0
92,11,1,0,11,0,0,0,0,1,0,0,9,0,0,0,0,2,0.0,0.0,0.0022,0.0,0,0
93,11,1,0,11,0,0,0,0,1,0,0,9,0,0,0,0,2,0.0,0.0,0.0022,0.0,0,0
94,11,1,0,11,0,0,0,0,1,0,0,9,0,0,0,0,2,0.0,0.0,0.0022,0.0,0,0
95,11,1,0,11,0,0,0,0,1,0,0,9,0,0,0,0,2,0.0,0.0,0.0022,0.0,0,0
96,11,1,0,11,0,0,0,0,1,0,0,9,0,0,0,0,2,0.0,0.0,0.0022,0.0,0,0
97,11,1,0,11,0,0,0,0,1,0,0,9,0,0,0,0,2,0.0,0.0,0.0022,0.0,0,0
98,11,1,0,11,0,0,0,0,1,0,0,9,0,0,0,0,2,0.0,0.0,0.0022,0.0,0,0
99,11,1,0,11,0,0,0,0,1,0,0,9,0,0,0,0,2,0.0,0.0,0.0022,0.0,0,0
100,11,1,0,11,0,0,0,0,1,0,0,9,0,0,0,0,2,0.0,0.0,0.0022,0.0,0,0
101,11,1,0,11,0,0,0,0,1,0,0,9,0,0,0,0,2,0.0,0.0,0.0022,0.0,0,0
102,11,1,0,11,0,0,0,0,1,0,0,9,0,0,0,0,2,0.0,0.0,0.0022,0.0,0,0
103,11,1,0,11,0,0,0,0,1,0,0,9,0,0,0,0,2,0.0,0.0,0.0022,0.0,0,0
104,11,1,0,11,0,0,0,0,1,0,0,9,0,0,0,0,2,0.0,0.0,0.0022,0.0,0,0
105,11,1,0,11,0,0,0,0,1,0,0,9,0,0,0,0,2,0.0,0.0,0.0022,0.0,0,0
106,11,1,0,11,0,0,0,0,1,0,0,9,0,0,0,0,2,0.0,0.0,0.0022,0.0,0,0
107,11,1,0,11,0,0,0,0,1,0,0,9,0,0,0,0,2,0.0,0.0,0.0022,0.0,0,0
108,11,1,0,11,0,0,0,0,1,0,0,9,0,0,0,0,2,0.0,0.0,0.0022,0.0,0,0
109,11,1,0,11,0,0,0,0,1,0,0,9,0,0,0,0,2,0.0,0.0,0.0022,0.0,0,0
110,11,1,0,11,0,0,0,0,1,0,0,9,0,0,0,0,2,0.0,0.0,0.0022,0.0,0,0
111,11,1,0,11,0,0,0,0,1,0,0,9,0,0,0,0,2,0.0,0.0,0.0022,0.0,0,0
112,11,1,0,11,0,0,0,0,1,0,0,9,0,0,0,0,2,0.0,0.0,0.0022,0.0,0,0
113,11,1,0,11,0,0,0,0,1,0,0,9,0,0,0,0,2,0.0,0.0,0.0022,0.0,0,0
114,11,1,0,11,0,0,0,0,1,0,0,9,0,0,0,0,2,0.0,0.0,0.0022,0.0,0,0
115,11,1,0,11,0,0,0,0,1,0,0,9,0,0,0,0,2,0.0,0.0,0.0022,0.0,0,0
116,11,1,0,11,0,0,0,0,1,0,0,9,0,0,0,0,2,0.0,0.0,0.0022,0.0,0,0
117,11,1,0,11,0,0,0,0,1,0,0,9,0,0,0,0,2,0.0,0.0,0.0022,0.0,0,0
118,11,1,0,11,0,0,0,0,1,0,0,9,0,0,0,0,2,0.0,0.0,0.0022,0.0,0,0
119,11,1,0,11,0,0,0,0,1,0,0,9,0,0,0,0,2,0.0,0.0,0.0022,0.0,0,0
120,11,1,0,11,0,0,0,0,1,0,0,9,0,0,0,0,2,0.0,0.0,0.0022,0.0,0,0
121,11,1,0,11,0,0,0,0,1,0,0,9,0,0,0,0,2,0.0,0.0,0.0022,0.0,0,0
122,11,1,0,11,0,0,0,0,1,0,0,9,0,0,0,0,2,0.0,0.0,0.0022,0.0,0,0
123,11,1,0,11,0,0,0,0,1,0,0,9,0,0,0,0,2,0.0,0.0,0.0022,0.0,0,0
124,11,1,0,11,0,0,0,0,1,0,0,9,0,0,0,0,2,0.0,0.0,0.0022,0.0,0,0
125,11,1,0,11,0,0,0,0,1,0,0,9,0,0,0,0,2,0.0,0.0,0.0022,0.0,0,0
126,11,1,0,11,0,0,0,0,1,0,0,9,0,0,0,0,2,0.0,0.0,0.0022,0.0,0,0
127,11,1,0,11,0,0,0,0,1,0,0,9,0,0,0,0,2,0.0,0.0,0.0022,0.0,0,0
128,11,1,0,11,0,0,0,0,1,0,0,9,0,0,0,0,2,0.0,0.0,0.0022,0.0,0,0
129,11,1,0,11,0,0,0,0,1,0,0,9,0,0,0,0,2,0.0,0.0,0.0022,0.0,0,0
130,11,1,0,11,0,0,0,0,1,0,0,9,0,0,0,0,2,0.0,0.0,0.0022,0.0,0,0
131,11,1,0,11,0,0,0,0,1,0,0,9,0,0,0,0,2,0.0,0.0,0.0022,0.0,0,0
132,11,1,0,11,0,0,0,0,1,0,0,9,0,0,0,0,2,0.0,0.0,0.0022,0.0,0,0
133,11,1,0,11,0,0,0,0,1,0,0,9,0,0,0,0,2,0.0,0.0,0.0022,0.0,0,0
134,11,1,0,11,0,0,0,0,1,0,0,9,0,0,0,0,2,0.0,0.0,0.0022,0.0,0,0
135,11,1,0,11,0,0,0,0,1,0,0,9,0,0,0,0,2,0.0,0.0,0.0022,0.0,0,0
136,11,1,0,11,0,0,0,0,1,0,0,9,0,0,0,0,2,0.0,0.0,0.0022,0.0,0,0
137,11,1,0,11,0,0,0,0,1,0,0,9,0,0,0,0,2,0.0,0.0,0.0022,0.0,0,0
138,11,1,0,11,0,0,0,0,1,0,0,9,0,0,0,0,2,0.0,0.0,0.0022,0.0,0,0
139,11,1,0,11,0,0,0,0,1,0,0,9,0,0,0,0,2,0.0,0.0,0.0022,0.0,0,0
140,11,1,0,11,0,0,0,0,1,0,0,9,0,0,0,0,2,0.0,0.0,0.0022,0.0,0,0
141,11,1,0,11,0,0,0,0,1,0,0,9,0,0,0,0,2,0.0,0.0,0.0022,0.0,0,0
142,11,1,0,11,0,0,0,0,1,0,0,9,0,0,0,0,2,0.0,0.0,0.0022,0.0,0,0
143,11,1,0,11,0,0,0,0,1,0,0,9,0,0,0,0,2,0.0,0.0,0.0022,0.0,0,0
144,11,1,0,11,0,0,0,0,1,0,0,9,0,0,0,0,2,0.0,0.0,0.0022,0.0,0,0
145,11,1,0,11,0,0,0,0,1,0,0,9,0,0,0,0,2,0.0,0.0,0.0022,0.0,0,0
146,11,1,0,11,0,0,0,0,1,0,0,9,0,0,0,0,2,0.0,0.0,0.0022,0.0,0,0
147,11,1,0,11,0,0,0,0,1,0,0,9,0,0,0,0,2,0.0,0.0,0.0022,0.0,0,0
148,11,1,0,11,0,0,0,0,1,0,0,9,0,0,0,0,2,0.0,0.0,0.0022,0.0,0,0
149,11,1,0,11,0,0,0,0,1,0,0,9,0,0,0,0,2,0.0,0.0,0.0022,0.0,0,0
150,11,1,0,11,0,0,0,0,1,0,0,9,0,0,0,0,2,0.0,0.0,0.0022,0.0,0,0
151,11,1,0,11,0,0,0,0,1,0,0,9,0,0,0,0,2,0.0,0.0,0.0022,0.0,0,0
152,11,1,0,11,0,0,0,0,1,0,0,9,0,0,0,0,2,0.0,0.0,0.0022,0.0,0,0
153,11,1,0,11,0,0,0,0,1,0,0,9,0,0,0,0,2,0.0,0.0,0.0022,0.0,0,0
154,11,1,0,11,0,0,0,0,1,0,0,9,0,0,0,0,2,0.0,0.0,0.0022,0.0,0,0
155,11,1,0,11,0,0,0,0,1,0,0,9,0,0,0,0,2,0.0,0.0,0.0022,0.0,0,0
156,11,1,0,11,0,0,0,0,1,0,0,9,0,0,0,0,2,0.0,0.0,0.0022,0.0,0,0
157,11,1,0,11,0,0,0,0,1,0,0,9,0,0,0,0,2,0.0,0.0,0.0022,0.0,0,0
158,11,1,0,11,0,0,0,0,1,0,0,9,0,0,0,0,2,0.0,0.0,0.0022,0.0,0,0
159,11,1,0,11,0,0,0,0,1,0,0,9,0,0,0,0,2,0.0,0.0,0.0022,0.0,0,0
160,11,1,0,11,0,0,0,0,1,0,0,9,0,0,0,0,2,0.0,0.0,0.0022,0.0,0,0
161,11,1,0,11,0,0,0,0,1,0,0,9,0,0,0,0,2,0.0,0.0,0.0022,0.0,0,0
162,11,1,0,11,0,0,0,0,1,0,0,9,0,0,0,0,2,0.0,0.0,0.0022,0.0,0,0
163,11,1,0,11,0,0,0,0,1,0,0,9,0,0,0,0,2,0.0,0.0,0.0022,0.0,0,0
164,11,1,0,11,0,0,0,0,1,0,0,9,0,0,0,0,2,0.0,0.0,0.0022,0.0,0,0
165,11,1,0,11,0,0,0,0,1,0,0,9,0,0,0,0,2,0.0,0.0,0.0022,0.0,0,0
166,11,1,0,11,0,0,0,0,1,0,0,9,0,0,0,0,2,0.0,0.0,0.0022,0.0,0,0
167,11,1,0,11,0,0,0,0,1,0,0,9,0,0,0,0,2,0.0,0.0,0.0022,0.0,0,0
168,11,1,0,11,0,0,0,0,1,0,0,9,0,0,0,0,2,0.0,0.0,0.0022,0.0,0,0
169,11,1,0,11,0,0,0,0,1,0,0,9,0,0,0,0,2,0.0,0.0,0.0022,0.0,0,0
170,11,1,0,11,0,0,0,0,1,0,0,9,0,0,0,0,2,0.0,0.0,0.0022,0.0,0,0
171,11,1,0,11,0,0,0,0,1,0,0,9,0,0,0,0,2,0.0,0.0,0.0022,0.0,0,0
172,11,1,0,11,0,0,0,0,1,0,0,9,0,0,0,0,2,0.0,0.0,0.0022,0.0,0,0
173,11,1,0,11,0,0,0,0,1,0,0,9,0,0,0,0,2,0.0,0.0,0.0022,0.0,0,0
174,11,1,0,11,0,0,0,0,1,0,0,9,0,0,0,0,2,0.0,0.0,0.0022,0.0,0,0
175,11,1,0,11,0,0,0,0,1,0,0,9,0,0,0,0,2,0.0,0.0,0.0022,0.0,0,0
176,11,1,0,11,0,0,0,0,1,0,0,9,0,0,0,0,2,0.0,0.0,0.0022,0.0,0,0
177,11,1,0,11,0,0,0,0,1,0,0,9,0,0,0,0,2,0.0,0.0,0.0022,0.0,0,0
178,11,1,0,11,0,0,0,0,1,0,0,9,0,0,0,0,2,0.0,0.0,0.0022,0.0,0,0
179,11,1,0,11,0,0,0,0,1,0,0,9,0,0,0,0,2,0.0,0.0,0.0022,0.0,0,0
180,11,1,0,11,0,0,0,0,1,0,0,9,0,0,0,0,2,0.0,0.0,0.0022,0.0,0,0
181,11,1,0,11,0,0,0,0,1,0,0,9,0,0,0,0,2,0.0,0.0,0.0022,0.0,0,0
182,11,1,0,11,0,0,0,0,1,0,0,9,0,0,0,0,2,0.0,0.0,0.0022,0.0,0,0
183,11,1,0,11,0,0,0,0,1,0,0,9,0,0,0,0,2,0.0,0.0,0.0022,0.0,0,0
184,11,1,0,11,0,0,0,0,1,0,0,9,0,0,0,0,2,0.0,0.0,0.0022,0.0,0,0
185,11,1,0,11,0,0,0,0,1,0,0,9,0,0,0,0,2,0.0,0.0,0.0022,0.0,0,0
186,11,1,0,11,0,0,0,0,1,0,0,9,0,0,0,0,2,0.0,0.0,0.0022,0.0,0,0
187,11,1,0,11,0,0,0,0,1,0,0,9,0,0,0,0,2,0.0,0.0,0.0022,0.0,0,0
188,11,1,0,11,0,0,0,0,1,0,0,9,0,0,0,0,2,0.0,0.0,0.0022,0.0,0,0
189,11,1,0,11,0,0,0,0,1,0,0,9,0,0,0,0,2,0.0,0.0,0.0022,0.0,0,0
190,11,1,0,11,0,0,0,0,1,0,0,9,0,0,0,0,2,0.0,0.0,0.0022,0.0,0,0
191,11,1,0,11,0,0,0,0,1,0,0,9,0,0,0,0,2,0.0,0.0,0.0022,0.0,0,0
192,11,1,0,11,0,0,0,0,1,0,0,9,0,0,0,0,2,0.0,0.0,0.0022,0.0,0,0
193,11,1,0,11,0,0,0,0,1,0,0,9,0,0,0,0,2,0.0,0.0,0.0022,0.0,0,0
194,11,1,0,11,0,0,0,0,1,0,0,9,0,0,0,0,2,0.0,0.0,0.0022,0.0,0,0
195,11,1,0,11,0,0,0,0,1,0,0,9,0,0,0,0,2,0.0,0.0,0.0022,0.0,0,0
196,11,1,0,11,0,0,0,0,1,0,0,9,0,0,0,0,2,0.0,0.0,0.0022,0.0,0,0
197,11,1,0,11,0,0,0,0,1,0,0,9,0,0,0,0,2,0.0,0.0,0.0022,0.0,0,0
198,11,1,0,11,0,0,0,0,1,0,0,9,0,0,0,0,2,0.0,0.0,0.0022,0.0,0,0
199,11,1,0,11,0,0,0,0,1,0,0,9,0,0,0,0,2,0.0,0.0,0.0022,0.0,0,0
200,11,1,0,11,0,0,0,0,1,0,0,9,0,0,0,0,2,0.0,0.0,0.0022,0.0,0,0
201,11,1,0,11,0,0,0,0,1,0,0,9,0,0,0,0,2,0.0,0.0,0.0022,0.0,0,0
202,11,1,0,11,0,0,0,0,1,0,0,9,0,0,0,0,2,0.0,0.0,0.0022,0.0,0,0
203,11,1,0,11,0,0,0,0,1,0,0,9,0,0,0,0,2,0.0,0.0,0.0022,0.0,0,0
204,11,1,0,11,0,0,0,0,1,0,0,9,0,0,0,0,2,0.0,0.0,0.0022,0.0,0,0
205,11,1,0,11,0,0,0,0,1,0,0,9,0,0,0,0,2,0.0,0.0,0.0022,0.0,0,0
206,11,1,0,11,0,0,0,0,1,0,0,9,0,0,0,0,2,0.0,0.0,0.0022,0.0,0,0
207,11,1,0,11,0,0,0,0,1,0,0,9,0,0,0,0,2,0.0,0.0,0.0022,0.0,0,0
208,11,1,0,11,0,0,0,0,1,0,0,9,0,0,0,0,2,0.0,0.0,0.0022,0.0,0,0
209,11,1,0,11,0,0,0,0,1,0,0,9,0,0,0,0,2,0.0,0.0,0.0022,0.0,0,0
210,11,1,0,11,0,0,0,0,1,0,0,9,0,0,0,0,2,0.0,0.0,0.0022,0.0,0,0
211,11,1,0,11,0,0,0,0,1,0,0,9,0,0,0,0,2,0.0,0.0,0.0022,0.0,0,0
212,11,1,0,11,0,0,0,0,1,0,0,9,0,0,0,0,2,0.0,0.0,0.0022,0.0,0,0
213,11,1,0,11,0,0,0,0,1,0,0,9,0,0,0,0,2,0.0,0.0,0.0022,0.0,0,0
214,11,1,0,11,0,0,0,0,1,0,0,9,0,0,0,0,2,0.0,0.0,0.0022,0.0,0,0
215,11,1,0,11,0,0,0,0,1,0,0,9,0,0,0,0,2,0.0,0.0,0.0022,0.0,0,0
216,11,1,0,11,0,0,0,0,1,0,0,9,0,0,0,0,2,0.0,0.0,0.0022,0.0,0,0
217,11,1,0,11,0,0,0,0,1,0,0,9,0,0,0,0,2,0.0,0.0,0.0022,0.0,0,0
218,11,1,0,11,0,0,0,0,1,0,0,9,0,0,0,0,2,0.0,0.0,0.0022,0.0,0,0
219,11,1,0,11,0,0,0,0,1,0,0,9,0,0,0,0,2,0.0,0.0,0.0022,0.0,0,0
220,11,1,0,11,0,0,0,0,1,0,0,9,0,0,0,0,2,0.0,0.0,0.0022,0.0,0,0
221,11,1,0,11,0,0,0,0,1,0,0,9,0,0,0,0,2,0.0,0.0,0.0022,0.0,0,0
222,11,1,0,11,0,0,0,0,1,0,0,9,0,0,0,0,2,0.0,0.0,0.0022,0.0,0,0
223,11,1,0,11,0,0,0,0,1,0,0,9,0,0,0,0,2,0.0,0.0,0.0022,0.0,0,0
224,11,1,0,11,0,0,0,0,1,0,0,9,0,0,0,0,2,0.0,0.0,0.0022,0.0,0,0
225,11,1,0,11,0,0,0,0,1,0,0,9,0,0,0,0,2,0.0,0.0,0.0022,0.0,0,0
226,11,1,0,11,0,0,0,0,1,0,0,9,0,0,0,0,2,0.0,0.0,0.0022,0.0,0,0
227,11,1,0,11,0,0,0,0,1,0,0,9,0,0,0,0,2,0.0,0.0,0.0022,0.0,0,0
228,11,1,0,11,0,0,0,0,1,0,0,9,0,0,0,0,2,0.0,0.0,0.0022,0.0,0,0
229,11,1,0,11,0,0,0,0,1,0,0,9,0,0,0,0,2,0.0,0.0,0.0022,0.0,0,0
230,11,1,0,11,0,0,0,0,1,0,0,9,0,0,0,0,2,0.0,0.0,0.0022,0.0,0,0
231,11,1,0,11,0,0,0,0,1,0,0,9,0,0,0,0,2,0.0,0.0,0.0022,0.0,0,0
232,11,1,0,11,0,0,0,0,1,0,0,9,0,0,0,0,2,0.0,0.0,0.0022,0.0,0,0
233,11,1,0,11,0,0,0,0,1,0,0,9,0,0,0,0,2,0.0,0.0,0.0022,0.0,0,0
234,11,1,0,11,0,0,0,0,1,0,0,9,0,0,0,0,2,0.0,0.0,0.0022,0.0,0,0
235,11,1,0,11,0,0,0,0,1,0,0,9,0,0,0,0,2,0.0,0.0,0.0022,0.0,0,0
236,11,1,0,11,0,0,0,0,1,0,0,9,0,0,0,0,2,0.0,0.0,0.0022,0.0,0,0
237,11,1,0,11,0,0,0,0,1,0,0,9,0,0,0,0,2,0.0,0.0,0.0022,0.0,0,0
238,11,1,0,11,0,0,0,0,1,0,0,9,0,0,0,0,2,0.0,0.0,0.0022,0.0,0,0
239,11,1,0,11,0,0,0,0,1,0,0,9,0,0,0,0,2,0.0,0.0,0.0022,0.0,0,0
240,11,1,0,11,0,0,0,0,1,0,0,9,0,0,0,0,2,0.0,0.0,0.0022,0.0,0,0
